"Consumer Age","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"24","13","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.26","2.76","0%","$0.00","$0.00","$0.00"
"35","19","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.92","4.89","0%","$0.00","$0.00","$0.00"
"31","26","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.51","4.30","0%","$0.00","$0.00","$0.00"
"33","9","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.58","5.00","0%","$0.00","$0.00","$0.00"
"26","12","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.49","3.83","0%","$0.00","$0.00","$0.00"
"94","3","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.68","3.66","0%","$0.00","$0.00","$0.00"
"43","27","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.32","4.77","0%","$0.00","$0.00","$0.00"
"36","19","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.59","4.57","0%","$0.00","$0.00","$0.00"
"98","4","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.14","4.50","0%","$0.00","$0.00","$0.00"
"30","16","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.15","4.87","0%","$0.00","$0.00","$0.00"
"19","4","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","2.00","0%","$0.00","$0.00","$0.00"
"21","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.46","4.80","0%","$0.00","$0.00","$0.00"
"37","13","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.26","4.69","0%","$0.00","$0.00","$0.00"
"0","1","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","1.00","0%","$0.00","$0.00","$0.00"
"29","8","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.20","6.62","0%","$0.00","$0.00","$0.00"
"25","10","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","2.70","0%","$0.00","$0.00","$0.00"
"38","17","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.48","4.29","0%","$0.00","$0.00","$0.00"
"18","2","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","3.00","0%","$0.00","$0.00","$0.00"
"93","10","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.28","3.60","0%","$0.00","$0.00","$0.00"
"--","8,301","921 (11.10%)","23.88%","220","20","162","18","7","2","8.182%","3.182%","0.909%","$101.83","$261.85","$916.46","$1,832.92","$8.33","$8.98","4.05","2.65%","$0.00","$0.00","$0.00"
