"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"DOOLY","4","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.63","3.25","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"RABUN","2","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","3.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"SEMINOLE","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","4.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"ELBERT","10","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.37","3.40","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"GLASCOCK","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TELFAIR","7","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.51","5.14","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"JENKINS","5","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","4.80","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HARRIS","21","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.24","4.04","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CRAWFORD","1","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","1.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"STEWART","3","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$8.68","4.66","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WILKES","2","0 (0.00%)","0","0","0","0%","$0.00","$0.00","$9.77","5.00","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
