"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"MONTGOMERY","8","1 (12.50%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.15","2.62","0%","$0.00","$0.00","$0.00"
"JEFF DAVIS","9","1 (11.11%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.15","4.00","0%","$0.00","$0.00","$0.00"
"OGLETHORPE","12","1 (8.33%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.84","5.83","0%","$0.00","$0.00","$0.00"
"CANDLER","17","1 (5.88%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.06","2.82","5.88%","$0.00","$0.00","$0.00"
"CLINCH","13","1 (7.69%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.96","3.61","0%","$0.00","$0.00","$0.00"
"PULASKI","13","1 (7.69%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.64","4.38","0%","$0.00","$0.00","$0.00"
"HABERSHAM","41","1 (2.44%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$8.96","4.07","2.43%","$0.00","$0.00","$0.00"
"QUITMAN","6","1 (16.67%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.49","2.33","0%","$0.00","$0.00","$0.00"
"HANCOCK","8","1 (12.50%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.36","2.25","12.5%","$0.00","$0.00","$0.00"
"BANKS","5","1 (20.00%)","100%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.11","5.00","20%","$0.00","$0.00","$0.00"
"EARLY","8","1 (12.50%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.36","4.12","0%","$0.00","$0.00","$0.00"
"DODGE","14","1 (7.14%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.37","3.57","0%","$0.00","$0.00","$0.00"
"PICKENS","20","1 (5.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.49","3.90","0%","$0.00","$0.00","$0.00"
"IRWIN","13","1 (7.69%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.16","3.84","0%","$0.00","$0.00","$0.00"
"JASPER","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.85","2.80","0%","$0.00","$0.00","$0.00"
"OCONEE","15","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.29","3.06","0%","$0.00","$0.00","$0.00"
"LONG","11","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.17","5.72","0%","$0.00","$0.00","$0.00"
"JOHNSON","6","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.22","4.50","0%","$0.00","$0.00","$0.00"
"TALIAFERRO","5","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.77","2.40","0%","$0.00","$0.00","$0.00"
"STEPHENS","29","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.72","4.27","0%","$0.00","$0.00","$0.00"
"STEWART","6","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.22","3.50","0%","$0.00","$0.00","$0.00"
"MILLER","12","0 (0.00%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.36","4.00","0%","$0.00","$0.00","$0.00"
