"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"CHATHAM","209","4 (1.91%)","2","2","0","50%","$27.63","$13.81","$11.74","4.64","0.95%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COWETA","86","3 (3.49%)","3","3","0","100%","$44.06","$14.68","$12.88","4.20","3.48%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"ROCKDALE","99","3 (3.03%)","1","1","0","33.33%","$3.90","$3.90","$13.02","4.17","1.01%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HOUSTON","109","3 (2.75%)","0","0","0","0%","$0.00","$0.00","$11.98","4.11","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WALKER","57","3 (5.26%)","3","2","0","100%","$25.03","$8.34","$12.69","4.31","5.26%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHEROKEE","151","2 (1.32%)","0","0","0","0%","$0.00","$0.00","$11.73","3.92","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"STEPHENS","15","2 (13.33%)","1","1","1","50%","$8.41","$8.41","$12.46","2.26","6.66%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HALL","75","2 (2.67%)","0","0","0","0%","$0.00","$0.00","$13.58","4.81","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LOWNDES","75","2 (2.67%)","2","1","1","100%","$22.23","$11.11","$9.95","4.98","2.66%","0","0%","$0.00","$0.00","1","50%","$22.23","$0.00","0","0%","$0.00","$0.00"
"RICHMOND","155","2 (1.29%)","0","0","0","0%","$0.00","$0.00","$10.73","4.78","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PEACH","30","2 (6.67%)","1","1","0","50%","$17.42","$17.42","$11.47","5.43","3.33%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WALTON","105","2 (1.90%)","0","0","0","0%","$0.00","$0.00","$13.52","4.55","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CARROLL","88","2 (2.27%)","0","0","0","0%","$0.00","$0.00","$12.74","4.36","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DAWSON","18","2 (11.11%)","0","0","0","0%","$0.00","$0.00","$12.12","4.05","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DOUGLAS","142","2 (1.41%)","2","2","1","100%","$19.93","$9.96","$11.38","4.94","1.4%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FAYETTE","40","2 (5.00%)","0","0","0","0%","$0.00","$0.00","$15.26","4.75","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LAURENS","26","1 (3.85%)","1","0","0","100%","$10.81","$10.81","$12.37","4.23","3.84%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"UNION","16","1 (6.25%)","0","0","0","0%","$0.00","$0.00","$12.96","3.06","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FORSYTH","44","1 (2.27%)","1","0","0","100%","$11.39","$11.39","$12.02","4.31","2.27%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MCDUFFIE","15","1 (6.67%)","0","0","0","0%","$0.00","$0.00","$14.44","4.06","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"GORDON","39","1 (2.56%)","0","0","0","0%","$0.00","$0.00","$10.77","4.76","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TROUP","47","1 (2.13%)","0","0","0","0%","$0.00","$0.00","$11.13","4.53","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BUTTS","18","1 (5.56%)","1","1","1","100%","$20.43","$20.43","$13.92","5.11","5.55%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HART","25","1 (4.00%)","0","0","0","0%","$0.00","$0.00","$11.63","4.16","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
